Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Lamar Jackson (15886880),Lamar Jackson,15886880,CPT,17400,DAL@BAL 12/08/2020 08:05PM ET,BAL,20.94
RB,Ezekiel Elliott (15886881),Ezekiel Elliott,15886881,CPT,15300,DAL@BAL 12/08/2020 08:05PM ET,DAL,16.12
QB,Andy Dalton (15886882),Andy Dalton,15886882,CPT,15000,DAL@BAL 12/08/2020 08:05PM ET,DAL,8.95
WR,Amari Cooper (15886883),Amari Cooper,15886883,CPT,14400,DAL@BAL 12/08/2020 08:05PM ET,DAL,16.9
QB,Tyler Huntley (15886884),Tyler Huntley,15886884,CPT,13800,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
QB,Trace McSorley (15886885),Trace McSorley,15886885,CPT,13800,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.68
QB,Robert Griffin III (15886886),Robert Griffin III,15886886,CPT,13800,DAL@BAL 12/08/2020 08:05PM ET,BAL,1.40
RB,J.K. Dobbins (15886887),J.K. Dobbins,15886887,CPT,12900,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.83
TE,Mark Andrews (15886888),Mark Andrews,15886888,CPT,11700,DAL@BAL 12/08/2020 08:05PM ET,BAL,11.94
QB,Lamar Jackson (15886833),Lamar Jackson,15886833,FLEX,11600,DAL@BAL 12/08/2020 08:05PM ET,BAL,20.94
WR,Marquise Brown (15886889),Marquise Brown,15886889,CPT,10800,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.88
RB,Ezekiel Elliott (15886834),Ezekiel Elliott,15886834,FLEX,10200,DAL@BAL 12/08/2020 08:05PM ET,DAL,16.12
QB,Andy Dalton (15886835),Andy Dalton,15886835,FLEX,10000,DAL@BAL 12/08/2020 08:05PM ET,DAL,8.95
WR,CeeDee Lamb (15886890),CeeDee Lamb,15886890,CPT,9900,DAL@BAL 12/08/2020 08:05PM ET,DAL,13.96
WR,Amari Cooper (15886836),Amari Cooper,15886836,FLEX,9600,DAL@BAL 12/08/2020 08:05PM ET,DAL,16.9
WR,Willie Snead IV (15886891),Willie Snead IV,15886891,CPT,9300,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.69
QB,Tyler Huntley (15886837),Tyler Huntley,15886837,FLEX,9200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
QB,Trace McSorley (15886838),Trace McSorley,15886838,FLEX,9200,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.68
QB,Robert Griffin III (15886839),Robert Griffin III,15886839,FLEX,9200,DAL@BAL 12/08/2020 08:05PM ET,BAL,1.40
QB,Garrett Gilbert (15886892),Garrett Gilbert,15886892,CPT,9000,DAL@BAL 12/08/2020 08:05PM ET,DAL,15.52
QB,Dak Prescott (15886893),Dak Prescott,15886893,CPT,9000,DAL@BAL 12/08/2020 08:05PM ET,DAL,30.33
QB,Ben DiNucci (15886894),Ben DiNucci,15886894,CPT,9000,DAL@BAL 12/08/2020 08:05PM ET,DAL,4.48
QB,Cooper Rush (15886895),Cooper Rush,15886895,CPT,9000,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
DST,Ravens  (15886896),Ravens ,15886896,CPT,8700,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.64
RB,J.K. Dobbins (15886840),J.K. Dobbins,15886840,FLEX,8600,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.83
RB,Mark Ingram II (15886897),Mark Ingram II,15886897,CPT,8400,DAL@BAL 12/08/2020 08:05PM ET,BAL,5.64
RB,Gus Edwards (15886898),Gus Edwards,15886898,CPT,8100,DAL@BAL 12/08/2020 08:05PM ET,BAL,6.26
TE,Mark Andrews (15886841),Mark Andrews,15886841,FLEX,7800,DAL@BAL 12/08/2020 08:05PM ET,BAL,11.94
TE,Dalton Schultz (15886899),Dalton Schultz,15886899,CPT,7800,DAL@BAL 12/08/2020 08:05PM ET,DAL,9.47
WR,Marquise Brown (15886842),Marquise Brown,15886842,FLEX,7200,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.88
WR,CeeDee Lamb (15886843),CeeDee Lamb,15886843,FLEX,6600,DAL@BAL 12/08/2020 08:05PM ET,DAL,13.96
WR,Michael Gallup (15886900),Michael Gallup,15886900,CPT,6600,DAL@BAL 12/08/2020 08:05PM ET,DAL,9.07
WR,Willie Snead IV (15886844),Willie Snead IV,15886844,FLEX,6200,DAL@BAL 12/08/2020 08:05PM ET,BAL,8.69
QB,Garrett Gilbert (15886845),Garrett Gilbert,15886845,FLEX,6000,DAL@BAL 12/08/2020 08:05PM ET,DAL,15.52
QB,Dak Prescott (15886846),Dak Prescott,15886846,FLEX,6000,DAL@BAL 12/08/2020 08:05PM ET,DAL,30.33
QB,Ben DiNucci (15886847),Ben DiNucci,15886847,FLEX,6000,DAL@BAL 12/08/2020 08:05PM ET,DAL,4.48
QB,Cooper Rush (15886848),Cooper Rush,15886848,FLEX,6000,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
K,Justin Tucker (15886901),Justin Tucker,15886901,CPT,6000,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.09
DST,Ravens  (15886849),Ravens ,15886849,FLEX,5800,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.64
RB,Mark Ingram II (15886850),Mark Ingram II,15886850,FLEX,5600,DAL@BAL 12/08/2020 08:05PM ET,BAL,5.64
RB,Gus Edwards (15886851),Gus Edwards,15886851,FLEX,5400,DAL@BAL 12/08/2020 08:05PM ET,BAL,6.26
K,Greg Zuerlein (15886902),Greg Zuerlein,15886902,CPT,5400,DAL@BAL 12/08/2020 08:05PM ET,DAL,8.36
TE,Dalton Schultz (15886852),Dalton Schultz,15886852,FLEX,5200,DAL@BAL 12/08/2020 08:05PM ET,DAL,9.47
DST,Cowboys  (15886903),Cowboys ,15886903,CPT,4800,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.54
WR,Michael Gallup (15886853),Michael Gallup,15886853,FLEX,4400,DAL@BAL 12/08/2020 08:05PM ET,DAL,9.07
K,Justin Tucker (15886854),Justin Tucker,15886854,FLEX,4000,DAL@BAL 12/08/2020 08:05PM ET,BAL,9.09
RB,Tony Pollard (15886904),Tony Pollard,15886904,CPT,3900,DAL@BAL 12/08/2020 08:05PM ET,DAL,5.78
K,Greg Zuerlein (15886855),Greg Zuerlein,15886855,FLEX,3600,DAL@BAL 12/08/2020 08:05PM ET,DAL,8.36
DST,Cowboys  (15886856),Cowboys ,15886856,FLEX,3200,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.54
TE,Luke Willson (15886905),Luke Willson,15886905,CPT,2700,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
RB,Tony Pollard (15886857),Tony Pollard,15886857,FLEX,2600,DAL@BAL 12/08/2020 08:05PM ET,DAL,5.78
RB,Justice Hill (15886906),Justice Hill,15886906,CPT,2400,DAL@BAL 12/08/2020 08:05PM ET,BAL,1.22
TE,Luke Willson (15886858),Luke Willson,15886858,FLEX,1800,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Cedrick Wilson (15886907),Cedrick Wilson,15886907,CPT,1800,DAL@BAL 12/08/2020 08:05PM ET,DAL,5.28
RB,Justice Hill (15886859),Justice Hill,15886859,FLEX,1600,DAL@BAL 12/08/2020 08:05PM ET,BAL,1.22
WR,Dez Bryant (15886908),Dez Bryant,15886908,CPT,1500,DAL@BAL 12/08/2020 08:05PM ET,BAL,3.4
WR,Cedrick Wilson (15886860),Cedrick Wilson,15886860,FLEX,1200,DAL@BAL 12/08/2020 08:05PM ET,DAL,5.28
WR,Devin Duvernay (15886909),Devin Duvernay,15886909,CPT,1200,DAL@BAL 12/08/2020 08:05PM ET,BAL,4.36
WR,Dez Bryant (15886861),Dez Bryant,15886861,FLEX,1000,DAL@BAL 12/08/2020 08:05PM ET,BAL,3.4
WR,Miles Boykin (15886910),Miles Boykin,15886910,CPT,900,DAL@BAL 12/08/2020 08:05PM ET,BAL,3.92
WR,Devin Duvernay (15886862),Devin Duvernay,15886862,FLEX,800,DAL@BAL 12/08/2020 08:05PM ET,BAL,4.36
WR,Miles Boykin (15886863),Miles Boykin,15886863,FLEX,600,DAL@BAL 12/08/2020 08:05PM ET,BAL,3.92
WR,Noah Brown (15886911),Noah Brown,15886911,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.51
TE,Blake Bell (15886912),Blake Bell,15886912,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.14
WR,James Proche (15886913),James Proche,15886913,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0.22
TE,Eric Tomlinson (15886914),Eric Tomlinson,15886914,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
RB,Rico Dowdle (15886915),Rico Dowdle,15886915,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,0.43
WR,Malik Turner (15886916),Malik Turner,15886916,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
RB,Ty'Son Williams (15886917),Ty'Son Williams,15886917,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
TE,Sean Culkin (15886918),Sean Culkin,15886918,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
TE,Sean McKeon (15886919),Sean McKeon,15886919,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
WR,Chris Lacy (15886920),Chris Lacy,15886920,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
RB,Elijah McGuire (15886921),Elijah McGuire,15886921,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
TE,Nick Boyle (15886922),Nick Boyle,15886922,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,4.14
TE,Blake Jarwin (15886923),Blake Jarwin,15886923,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.2
WR,DeAndrew White (15886924),DeAndrew White,15886924,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Antoine Wesley (15886925),Antoine Wesley,15886925,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Chris Moore (15886926),Chris Moore,15886926,CPT,300,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Noah Brown (15886864),Noah Brown,15886864,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.51
TE,Blake Bell (15886865),Blake Bell,15886865,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.14
WR,James Proche (15886866),James Proche,15886866,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0.22
TE,Eric Tomlinson (15886867),Eric Tomlinson,15886867,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
RB,Rico Dowdle (15886868),Rico Dowdle,15886868,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,0.43
WR,Malik Turner (15886869),Malik Turner,15886869,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
RB,Ty'Son Williams (15886870),Ty'Son Williams,15886870,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
TE,Sean Culkin (15886871),Sean Culkin,15886871,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
TE,Sean McKeon (15886872),Sean McKeon,15886872,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
WR,Chris Lacy (15886873),Chris Lacy,15886873,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
RB,Elijah McGuire (15886874),Elijah McGuire,15886874,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,0
TE,Nick Boyle (15886875),Nick Boyle,15886875,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,4.14
TE,Blake Jarwin (15886876),Blake Jarwin,15886876,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,DAL,2.2
WR,DeAndrew White (15886877),DeAndrew White,15886877,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Antoine Wesley (15886878),Antoine Wesley,15886878,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
WR,Chris Moore (15886879),Chris Moore,15886879,FLEX,200,DAL@BAL 12/08/2020 08:05PM ET,BAL,0
